2023-01-12,4:00:00,2201,0.692468
2023-01-12,4:00:01,2157,0.680383
2023-01-12,4:00:02,1702,0.68562
2023-01-12,4:00:03,1877,0.659033
2023-01-12,4:00:04,2352,0.746045
2023-01-12,4:00:06,1641,0.598608
2023-01-12,4:00:07,1701,0.912415
2023-01-12,4:00:08,1988,0.673535
2023-01-12,4:00:10,1917,0.636877
2023-01-12,4:00:11,1834,0.817749
2023-01-12,4:00:12,1909,0.631238
2023-01-12,4:00:13,1909,0.631238
2023-01-12,4:00:14,2058,0.636475
2023-01-12,4:00:15,2050,0.584509
2023-01-12,4:00:16,1559,0.887842
2023-01-12,4:00:17,2003,0.671118
2023-01-12,4:00:18,2235,0.675549
2023-01-12,4:00:19,2235,0.675549
2023-01-12,4:00:20,1595,0.681995
2023-01-12,4:00:21,2101,0.727515
2023-01-12,4:00:22,1931,0.781494
2023-01-12,4:00:23,1734,0.630432
2023-01-12,4:00:24,2409,0.634863
2023-01-12,4:00:25,2409,0.634863
2023-01-12,4:00:26,1674,0.845947
2023-01-12,4:00:27,1944,0.765784
2023-01-12,4:00:28,2041,0.583704
2023-01-12,4:00:29,1948,0.77666
2023-01-12,4:00:31,2269,0.641711
2023-01-12,4:00:32,2269,0.641711
2023-01-12,4:00:33,1854,0.559937
2023-01-12,4:00:35,2025,0.608679
2023-01-12,4:00:36,2119,0.672729
2023-01-12,4:00:37,2132,0.747656
2023-01-12,4:00:38,1952,0.815735
2023-01-12,4:00:39,1952,0.815735
2023-01-12,4:00:40,1863,0.700525
2023-01-12,4:00:41,2188,0.605859
2023-01-12,4:00:42,2095,0.679578
2023-01-12,4:00:44,2165,0.695691
2023-01-12,4:00:45,1847,0.638086
2023-01-12,4:00:48,2405,0.914026
2023-01-12,4:00:49,2028,0.666284
2023-01-12,4:00:50,2332,0.590552
2023-01-12,4:00:51,1565,0.723889
2023-01-12,4:00:52,1932,0.750879
2023-01-12,4:00:53,1932,0.750879
2023-01-12,4:00:54,2157,0.754907
2023-01-12,4:00:55,1553,0.657019
2023-01-12,4:00:56,2212,0.70697
2023-01-12,4:00:57,1541,0.679175
2023-01-12,4:00:58,2282,0.717444
2023-01-12,4:00:59,2282,0.717444
2023-01-12,4:01:01,1966,0.616333
2023-01-12,4:01:02,2049,0.659839
2023-01-12,4:01:04,1908,0.794385
2023-01-12,4:01:05,2620,0.867297
2023-01-12,4:01:06,2620,0.867297
2023-01-12,4:01:08,1952,0.69408
2023-01-12,4:01:09,2092,0.685217
2023-01-12,4:01:10,2274,0.673132
2023-01-12,4:01:11,2383,0.638086
2023-01-12,4:01:12,2383,0.638086
2023-01-12,4:01:13,2034,0.708582
2023-01-12,4:01:14,2025,0.702539
2023-01-12,4:01:15,1962,0.737585
2023-01-12,4:01:16,2471,0.676355
2023-01-12,4:01:17,1938,0.676355
2023-01-12,4:01:19,2459,0.686426
2023-01-12,4:01:20,2459,0.686426
2023-01-12,4:01:21,1930,0.615527
2023-01-12,4:01:22,1671,0.652991
2023-01-12,4:01:23,2784,0.802844
2023-01-12,4:01:24,1709,0.54624
2023-01-12,4:01:25,2184,0.635669
2023-01-12,4:01:26,1861,0.87334
2023-01-12,4:01:27,1861,0.87334
2023-01-12,4:01:28,2130,0.631641
2023-01-12,4:01:29,1632,0.677966
2023-01-12,4:01:30,2198,0.667493
2023-01-12,4:01:31,1753,0.628418
2023-01-12,4:01:32,1753,0.628418
2023-01-12,4:01:33,1848,0.534961
2023-01-12,4:01:34,2157,0.682397
2023-01-12,4:01:35,1773,0.804858
2023-01-12,4:01:36,1605,0.836279
2023-01-12,4:01:39,1936,0.607068
2023-01-12,4:01:40,1936,0.607068
2023-01-12,4:01:41,1829,0.595789
2023-01-12,4:01:42,1620,0.607874
2023-01-12,4:01:43,2256,0.649365
2023-01-12,4:01:44,1877,0.673132
2023-01-12,4:01:46,2123,0.573633
2023-01-12,4:01:47,2123,0.573633
2023-01-12,4:01:48,2237,0.640906
2023-01-12,4:01:49,1563,0.731946
2023-01-12,4:01:50,1880,0.606665
2023-01-12,4:01:52,2071,0.603845
2023-01-12,4:01:53,2219,0.754102
2023-01-12,4:01:54,2219,0.754102
2023-01-12,4:01:55,1876,0.610693
2023-01-12,4:01:56,1653,0.656213
2023-01-12,4:01:57,1994,0.678772
2023-01-12,4:01:58,1815,0.642517
2023-01-12,4:01:59,2199,0.724292
2023-01-12,4:02:00,2199,0.724292
2023-01-12,4:02:01,2280,0.64574
2023-01-12,4:02:03,1394,0.791968
