2023-01-12,4:00:00.0,.734224,.867659,.892854,.654915,1,0
2023-01-12,4:00:00.1,.698210,.792350,.927182,.639456,1,1
2023-01-12,4:00:00.2,.708025,.814709,.981359,.674540,1,0
2023-01-12,4:00:00.3,.760770,.820636,.900874,.612594,1,1
2023-01-12,4:00:00.4,.766643,.743300,.812247,.671919,0,1
2023-01-12,4:00:00.5,.720614,.784372,.843242,.644563,0,1
2023-01-12,4:00:00.6,.733471,.698160,.974917,.675098,1,0
2023-01-12,4:00:00.7,.711479,.797925,.765506,.593536,1,1
2023-01-12,4:00:00.8,.711317,.698105,.762496,.661782,0,0
2023-01-12,4:00:00.9,.704748,.816231,.733935,.686741,1,0
2023-01-12,4:00:01.0,.748782,.850770,.739850,.596285,0,0
2023-01-12,4:00:01.1,.692691,.815688,.739419,.649824,1,1
2023-01-12,4:00:01.2,.713228,.782248,.921825,.659419,1,0
2023-01-12,4:00:01.3,.717105,.830869,.825391,.593333,0,0
2023-01-12,4:00:01.4,.751180,.875304,.972549,.669537,0,1
2023-01-12,4:00:01.5,.732299,.750936,.798788,.615317,0,1
2023-01-12,4:00:01.6,.709066,.750209,.763972,.667613,1,0
2023-01-12,4:00:01.7,.713581,.856962,.758066,.642071,1,1
2023-01-12,4:00:01.8,.739314,.863016,.683439,.587605,1,1
2023-01-12,4:00:01.9,.761131,.843081,.930864,.587861,0,0
2023-01-12,4:00:02.0,.699807,.688544,.781702,.645502,1,0
2023-01-12,4:00:02.1,.731183,.821178,.691505,.603549,1,0
2023-01-12,4:00:02.2,.778802,.733525,.951476,.646712,1,0
2023-01-12,4:00:02.3,.687026,.750591,.984480,.585862,1,0
2023-01-12,4:00:02.4,.764162,.803895,.884436,.634287,1,1
2023-01-12,4:00:02.5,.700536,.757941,.750456,.685162,1,1
2023-01-12,4:00:02.6,.763020,.871780,.714559,.601373,1,0
2023-01-12,4:00:02.7,.781289,.839341,.982728,.610551,1,0
2023-01-12,4:00:02.8,.785136,.769299,.768114,.615537,1,1
2023-01-12,4:00:02.9,.713405,.714479,.834260,.597901,1,0
2023-01-12,4:00:03.0,.734408,.847492,.909415,.624693,1,1
2023-01-12,4:00:03.1,.663371,.844480,.735141,.655577,1,1
2023-01-12,4:00:03.2,.662797,.693350,.778243,.589475,0,1
2023-01-12,4:00:03.3,.704306,.665979,.837657,.637813,1,0
2023-01-12,4:00:03.4,.699157,.748700,.794164,.618237,1,1
2023-01-12,4:00:03.5,.694649,.838396,.753542,.568892,0,1
2023-01-12,4:00:03.6,.705634,.781692,.688152,.616117,1,0
2023-01-12,4:00:03.7,.678716,.851153,.900027,.592307,1,1
2023-01-12,4:00:03.8,.700112,.775487,.690056,.584540,0,1
2023-01-12,4:00:03.9,.718997,.767344,.786270,.618051,1,0
2023-01-12,4:00:04.0,.757121,.873129,.806196,.704829,1,1
2023-01-12,4:00:04.1,.775313,.773292,.770906,.704828,0,0
2023-01-12,4:00:04.2,.811393,.750759,.844272,.693377,0,1
2023-01-12,4:00:04.3,.808193,.892839,.981590,.674959,1,0
2023-01-12,4:00:04.4,.819857,.868291,.887750,.672646,0,1
